"STUDY.ACCESSION","PUBMED.ID","DISEASE.TRAIT","INITIAL.SAMPLE.SIZE","MAPPED_TRAIT","NUMBER.OF.INDIVIDUALS","BROAD.ANCESTRAL.CATEGORY"
"GCST90081616",34662886,"Kidney / renal cell cancer (UKB data field 20001) (Gene-based burden)","600 European ancestry cases, 39,014 European ancestry controls","kidney neoplasm",39614,"European"
"GCST90081617",34662886,"Bladder cancer (UKB data field 20001) (Gene-based burden)","1,128 European ancestry cases, 38,486 European ancestry controls","urinary bladder carcinoma",39614,"European"
"GCST90081618",34662886,"Ovarian cancer (UKB data field 20001) (Gene-based burden)","769 European ancestry cases, 38,845 European ancestry controls","ovarian carcinoma",39614,"European"
"GCST90081619",34662886,"Uterine endometrial cancer (UKB data field 20001) (Gene-based burden)","1,131 European ancestry cases, 38,483 European ancestry controls","uterine carcinoma",39614,"European"
"GCST90081620",34662886,"Cervical cancer (UKB data field 20001) (Gene-based burden)","1,786 European ancestry cases, 37,828 European ancestry controls","cervical carcinoma",39614,"European"
"GCST90081621",34662886,"Prostate cancer (UKB data field 20001) (Gene-based burden)","3,622 European ancestry cases, 35,992 European ancestry controls","prostate carcinoma",39614,"European"
"GCST90081622",34662886,"Testicular cancer (UKB data field 20001) (Gene-based burden)","769 European ancestry cases, 38,845 European ancestry controls","testicular carcinoma",39614,"European"
"GCST90081623",34662886,"Non hodgkins lymphoma (UKB data field 20001) (Gene-based burden)","885 European ancestry cases, 38,729 European ancestry controls","non-Hodgkins lymphoma",39614,"European"
"GCST90081624",34662886,"Malignant melanoma (UKB data field 20001) (Gene-based burden)","3,595 European ancestry cases, 36,019 European ancestry controls","melanoma",39614,"European"
"GCST90081625",34662886,"Non melanoma skin cancer (UKB data field 20001) (Gene-based burden)","717 European ancestry cases, 38,897 European ancestry controls","non-melanoma skin carcinoma",39614,"European"
"GCST90081626",34662886,"Basal cell carcinoma (UKB data field 20001) (Gene-based burden)","4,723 European ancestry cases, 34,891 European ancestry controls","basal cell carcinoma",39614,"European"
"GCST90081627",34662886,"Squamous cell carcinoma (UKB data field 20001) (Gene-based burden)","638 European ancestry cases, 38,976 European ancestry controls","squamous cell carcinoma",39614,"European"
"GCST90081629",34662886,"Rodent ulcer (UKB data field 20001) (Gene-based burden)","956 European ancestry cases, 38,658 European ancestry controls","basal cell carcinoma",39614,"European"
"GCST90081630",34662886,"Cancer (UKB data field 20001) (Gene-based burden)","613 European ancestry cases, 39,001 European ancestry controls","cancer",39614,"European"
"GCST90081780",34662886,"ICD10 N83: ovarian cyst or cysts (Gene-based burden)","3,353 European ancestry cases, 174,541 European ancestry controls","Tarlov Cysts",177894,"European"
"GCST90081782",34662886,"Uterine fibroids (Gene-based burden)","7,143 European ancestry cases, 324,611 European ancestry controls","uterine fibroid",331754,"European"
"GCST90081783",34662886,"ICD10 D25: uterine fibroids (Gene-based burden)","6,313 European ancestry cases, 171,581 European ancestry controls","uterine fibroid",177894,"European"
"GCST90081784",34662886,"Uterine polyps (Gene-based burden)","1,439 European ancestry cases, 330,315 European ancestry controls","uterine polyp",331754,"European"
"GCST90081785",34662886,"ICD10 N84: uterine polyps (Gene-based burden)","1,299 European ancestry cases, 176,595 European ancestry controls","uterine polyp",177894,"European"
"GCST90081788",34662886,"Breast cysts (Gene-based burden)","1,900 European ancestry cases, 329,854 European ancestry controls","breast cyst",331754,"European"
"GCST90081789",34662886,"ICD10 N60: breast cysts (Gene-based burden)","1,569 European ancestry cases, 176,325 European ancestry controls","breast cyst",177894,"European"
"GCST90081803",34662886,"Enlarged prostate (Gene-based burden)","7,026 European ancestry cases, 324,728 European ancestry controls","benign prostatic hyperplasia",331754,"European"
"GCST90081804",34662886,"ICD10 N40: enlarged prostate (Gene-based burden)","6,347 European ancestry cases, 144,811 European ancestry controls","benign prostatic hyperplasia",151158,"European"
"GCST90081824",34662886,"Nasal polyps (Gene-based burden)","2,016 European ancestry cases, 329,738 European ancestry controls","Nasal Cavity Polyp",331754,"European"
"GCST90081825",34662886,"ICD10 J33: nasal polyps (Gene-based burden)","1,790 European ancestry cases, 327,262 European ancestry controls","Nasal Cavity Polyp",329052,"European"
"GCST90081853",34662886,"Rectal or colon adenoma polyps (Gene-based burden)","1,530 European ancestry cases, 330,224 European ancestry controls","adenomatous colon polyp",331754,"European"
"GCST90081854",34662886,"ICD10 D12: rectal or colon adenoma polyps (Gene-based burden)","1,492 European ancestry cases, 327,560 European ancestry controls","adenomatous colon polyp",329052,"European"
"GCST90081902",34662886,"Benign prostatic hypertrophy (Gene-based burden)","1,075 European ancestry cases, 330,679 European ancestry controls","benign prostatic hyperplasia",331754,"European"
"GCST90081903",34662886,"ICD10 N40: benign prostatic hypertrophy (Gene-based burden)","968 European ancestry cases, 150,190 European ancestry controls","benign prostatic hyperplasia",151158,"European"
"GCST90081975",34662886,"Benign breast lump (Gene-based burden)","1,671 European ancestry cases, 330,083 European ancestry controls","breast benign neoplasm",331754,"European"
"GCST90081976",34662886,"ICD10 N60: benign breast lump (Gene-based burden)","1,390 European ancestry cases, 176,504 European ancestry controls","breast benign neoplasm",177894,"European"
"GCST90082936",34662886,"Cancer (UKB data field 2453) (Gene-based burden)","36,403 European ancestry cases, 393,153 European ancestry controls","cancer",429556,"European"
"GCST90083065",34662886,"Malignant neoplasm of esophagus (UKB data field 40006) (Gene-based burden)","696 European ancestry cases, 73,534 European ancestry controls","neoplasm of esophagus",74230,"European"
"GCST90083066",34662886,"Malignant neoplasm of cecum (UKB data field 40006) (Gene-based burden)","648 European ancestry cases, 73,582 European ancestry controls","cecal neoplasm",74230,"European"
"GCST90083067",34662886,"Malignant neoplasm of sigmoid colon (UKB data field 40006) (Gene-based burden)","1,290 European ancestry cases, 72,940 European ancestry controls","sigmoid neoplasm",74230,"European"
"GCST90083068",34662886,"Malignant neoplasm of colon (UKB data field 40006) (Gene-based burden)","3,309 European ancestry cases, 70,921 European ancestry controls","colon carcinoma",74230,"European"
"GCST90083069",34662886,"Malignant neoplasm of rectum (UKB data field 40006) (Gene-based burden)","1,566 European ancestry cases, 72,664 European ancestry controls","rectum cancer",74230,"European"
"GCST90083070",34662886,"Malignant neoplasm of pancreas (UKB data field 40006) (Gene-based burden)","682 European ancestry cases, 73,548 European ancestry controls","pancreatic carcinoma",74230,"European"
"GCST90083071",34662886,"Malignant neoplasm of upper lobe, bronchus or lung (UKB data field 40006) (Gene-based burden)","1,142 European ancestry cases, 73,088 European ancestry controls","lung neoplasm",74230,"European"
"GCST90083072",34662886,"Malignant neoplasm of lower lobe, bronchus or lung (UKB data field 40006) (Gene-based burden)","626 European ancestry cases, 73,604 European ancestry controls","lung neoplasm",74230,"European"
"GCST90083073",34662886,"Malignant neoplasm of unspecified part of bronchus or lung (UKB data field 40006) (Gene-based burden)","558 European ancestry cases, 73,672 European ancestry controls","lung neoplasm",74230,"European"
"GCST90083074",34662886,"Malignant neoplasm of bronchus and lung (UKB data field 40006) (Gene-based burden)","2,464 European ancestry cases, 71,766 European ancestry controls","lung carcinoma",74230,"European"
"GCST90083075",34662886,"Malignant melanoma of trunk (UKB data field 40006) (Gene-based burden)","1,039 European ancestry cases, 73,191 European ancestry controls","melanoma",74230,"European"
"GCST90083076",34662886,"Malignant melanoma of upper limb, including shoulder (UKB data field 40006) (Gene-based burden)","825 European ancestry cases, 73,405 European ancestry controls","melanoma",74230,"European"
"GCST90083077",34662886,"Malignant melanoma of lower limb, including hip (UKB data field 40006) (Gene-based burden)","1,075 European ancestry cases, 73,155 European ancestry controls","melanoma",74230,"European"
"GCST90083078",34662886,"Malignant melanoma of skin (UKB data field 40006) (Gene-based burden)","3,349 European ancestry cases, 70,881 European ancestry controls","melanoma",74230,"European"
"GCST90083079",34662886,"Malignant neoplasm of skin of eyelid, including canthus (UKB data field 40006) (Gene-based burden)","887 European ancestry cases, 73,343 European ancestry controls","skin neoplasm",74230,"European"
"GCST90083080",34662886,"Malignant neoplasm of skin of ear and external auricular canal (UKB data field 40006) (Gene-based burden)","667 European ancestry cases, 73,563 European ancestry controls","skin neoplasm",74230,"European"
"GCST90083081",34662886,"Malignant neoplasm of skin of parts of face (UKB data field 40006) (Gene-based burden)","5,918 European ancestry cases, 68,312 European ancestry controls","skin neoplasm",74230,"European"
"GCST90083082",34662886,"Malignant neoplasm of skin of scalp and neck (UKB data field 40006) (Gene-based burden)","1,246 European ancestry cases, 72,984 European ancestry controls","skin neoplasm",74230,"European"
"GCST90083083",34662886,"Malignant neoplasm of skin of trunk (UKB data field 40006) (Gene-based burden)","2,568 European ancestry cases, 71,662 European ancestry controls","skin neoplasm",74230,"European"
"GCST90083084",34662886,"Malignant neoplasm of skin of upper limb, including shoulder (UKB data field 40006) (Gene-based burden)","1,381 European ancestry cases, 72,849 European ancestry controls","skin neoplasm",74230,"European"
"GCST90083085",34662886,"Malignant neoplasm of skin of lower limb, including hip (UKB data field 40006) (Gene-based burden)","1,080 European ancestry cases, 73,150 European ancestry controls","skin neoplasm",74230,"European"
"GCST90083086",34662886,"Malignant neoplasm of skin, unspecified (UKB data field 40006) (Gene-based burden)","8,504 European ancestry cases, 65,726 European ancestry controls","skin neoplasm",74230,"European"
"GCST90083087",34662886,"Malignant neoplasm of skin (UKB data field 40006) (Gene-based burden)","21,805 European ancestry cases, 52,425 European ancestry controls","skin neoplasm",74230,"European"
"GCST90083088",34662886,"Malignant neoplasm of upper-inner quadrant of breast (UKB data field 40006) (Gene-based burden)","1,025 European ancestry cases, 39,980 European ancestry controls","breast neoplasm",41005,"European"
"GCST90083089",34662886,"Malignant neoplasm of lower-inner quadrant of breast (UKB data field 40006) (Gene-based burden)","543 European ancestry cases, 40,462 European ancestry controls","breast neoplasm",41005,"European"
"GCST90083090",34662886,"Malignant neoplasm of upper-outer quadrant of breast (UKB data field 40006) (Gene-based burden)","3,434 European ancestry cases, 37,571 European ancestry controls","breast neoplasm",41005,"European"
"GCST90083091",34662886,"Malignant neoplasm of lower-outer quadrant of breast (UKB data field 40006) (Gene-based burden)","636 European ancestry cases, 40,369 European ancestry controls","breast neoplasm",41005,"European"
"GCST90083092",34662886,"Malignant neoplasm of overlapping sites of breast (UKB data field 40006) (Gene-based burden)","878 European ancestry cases, 40,127 European ancestry controls","breast neoplasm",41005,"European"
"GCST90083093",34662886,"Malignant neoplasm of breast of unspecified site (UKB data field 40006) (Gene-based burden)","5,931 European ancestry cases, 35,074 European ancestry controls","breast neoplasm",41005,"European"
"GCST90083094",34662886,"Malignant neoplasm of breast (UKB data field 40006) (Gene-based burden)","12,472 European ancestry cases, 28,533 European ancestry controls","breast neoplasm",41005,"European"
"GCST90083095",34662886,"Malignant neoplasm of endometrium (UKB data field 40006) (Gene-based burden)","1,536 European ancestry cases, 39,469 European ancestry controls","endometrial cancer",41005,"European"
"GCST90083096",34662886,"Malignant neoplasm of corpus uteri (UKB data field 40006) (Gene-based burden)","1,612 European ancestry cases, 39,393 European ancestry controls","uterine corpus cancer",41005,"European"
"GCST90083097",34662886,"Malignant neoplasm of ovary (UKB data field 40006) (Gene-based burden)","1,106 European ancestry cases, 39,899 European ancestry controls","ovarian neoplasm",41005,"European"
"GCST90083098",34662886,"Malignant neoplasm of prostate (UKB data field 40006) (Gene-based burden)","8,498 European ancestry cases, 24,727 European ancestry controls","prostate carcinoma",33225,"European"
"GCST90083099",34662886,"Malignant neoplasm of testis (UKB data field 40006) (Gene-based burden)","512 European ancestry cases, 32,713 European ancestry controls","testicular carcinoma",33225,"European"
"GCST90083100",34662886,"Malignant neoplasm of kidney, except renal pelvis (UKB data field 40006) (Gene-based burden)","1,214 European ancestry cases, 73,016 European ancestry controls","kidney neoplasm",74230,"European"
"GCST90083101",34662886,"Malignant neoplasm of bladder, unspecified (UKB data field 40006) (Gene-based burden)","965 European ancestry cases, 73,265 European ancestry controls","urinary bladder carcinoma",74230,"European"
"GCST90083102",34662886,"Malignant neoplasm of bladder (UKB data field 40006) (Gene-based burden)","1,156 European ancestry cases, 73,074 European ancestry controls","urinary bladder carcinoma",74230,"European"
"GCST90083103",34662886,"Malignant neoplasm of brain (UKB data field 40006) (Gene-based burden)","549 European ancestry cases, 73,681 European ancestry controls","brain neoplasm",74230,"European"
"GCST90083104",34662886,"Malignant neoplasm of thyroid gland (UKB data field 40006) (Gene-based burden)","546 European ancestry cases, 73,684 European ancestry controls","thyroid carcinoma",74230,"European"
"GCST90083105",34662886,"Diffuse large B-cell lymphoma (UKB data field 40006) (Gene-based burden)","672 European ancestry cases, 73,558 European ancestry controls","diffuse large B-cell lymphoma",74230,"European"
"GCST90083106",34662886,"Non-follicular lymphoma (UKB data field 40006) (Gene-based burden)","965 European ancestry cases, 73,265 European ancestry controls","lymphoma",74230,"European"
"GCST90083107",34662886,"Non-Hodgkin lymphoma (UKB data field 40006) (Gene-based burden)","504 European ancestry cases, 73,726 European ancestry controls","non-Hodgkins lymphoma",74230,"European"
"GCST90083108",34662886,"Multiple myeloma (UKB data field 40006) (Gene-based burden)","554 European ancestry cases, 73,676 European ancestry controls","multiple myeloma",74230,"European"
"GCST90083109",34662886,"Multiple myeloma and malignant plasma cell neoplasms (UKB data field 40006) (Gene-based burden)","609 European ancestry cases, 73,621 European ancestry controls","multiple myeloma",74230,"European"
"GCST90083110",34662886,"Chronic lymphocytic leukemia of B-cell type (UKB data field 40006) (Gene-based burden)","571 European ancestry cases, 73,659 European ancestry controls","chronic lymphocytic leukemia",74230,"European"
"GCST90083111",34662886,"Lymphoid leukemia (UKB data field 40006) (Gene-based burden)","699 European ancestry cases, 73,531 European ancestry controls","lymphoid leukemia",74230,"European"
"GCST90083112",34662886,"Melanoma in situ (UKB data field 40006) (Gene-based burden)","1,343 European ancestry cases, 72,887 European ancestry controls","melanoma",74230,"European"
"GCST90083113",34662886,"Carcinoma in situ of skin (UKB data field 40006) (Gene-based burden)","1,322 European ancestry cases, 72,908 European ancestry controls","skin neoplasm",74230,"European"
"GCST90083114",34662886,"Intraductal carcinoma in situ of breast (UKB data field 40006) (Gene-based burden)","1,947 European ancestry cases, 39,058 European ancestry controls","Ductal Breast Carcinoma In Situ and Lobular Carcinoma In Situ",41005,"European"
"GCST90083115",34662886,"Carcinoma in situ of breast (UKB data field 40006) (Gene-based burden)","2,316 European ancestry cases, 38,689 European ancestry controls","breast carcinoma",41005,"European"
"GCST90083116",34662886,"Carcinoma in situ of cervix, unspecified (UKB data field 40006) (Gene-based burden)","2,999 European ancestry cases, 38,006 European ancestry controls","cervical carcinoma",41005,"European"
"GCST90083117",34662886,"Carcinoma in situ of cervix uteri (UKB data field 40006) (Gene-based burden)","3,495 European ancestry cases, 37,510 European ancestry controls","cervical carcinoma",41005,"European"
"GCST90083119",34662886,"Carcinoma in situ of bladder (UKB data field 40006) (Gene-based burden)","721 European ancestry cases, 73,509 European ancestry controls","urinary bladder carcinoma",74230,"European"
"GCST90083120",34662886,"Carcinoma in situ of other and unspecified sites (UKB data field 40006) (Gene-based burden)","776 European ancestry cases, 73,454 European ancestry controls","carcinoma",74230,"European"
"GCST90083121",34662886,"Neoplasm of uncertain behavior of bladder (UKB data field 40006) (Gene-based burden)","799 European ancestry cases, 73,431 European ancestry controls","bladder tumor",74230,"European"
"GCST90083122",34662886,"Neoplasm of uncertain behavior of urinary organs (UKB data field 40006) (Gene-based burden)","842 European ancestry cases, 73,388 European ancestry controls","urinary system neoplasm",74230,"European"
"GCST90083123",34662886,"Age at cancer diagnosis (UKB data field 40008) (Gene-based burden)","78,689 European ancestry individuals","cancer, age at diagnosis",78689,"European"
"GCST90083125",34662886,"Behaviour of cancer tumour - Carcinoma in situ (UKB data field 40012) (Gene-based burden)","12,102 European ancestry cases, 64,267 European ancestry controls","in situ carcinoma",76369,"European"
"GCST90083126",34662886,"Behaviour of cancer tumour - Malignant primary site (UKB data field 40012) (Gene-based burden)","66,204 European ancestry cases, 10,165 European ancestry controls","cancer",76369,"European"
"GCST90083536",34662886,"ICD10 B07: Viral warts (Gene-based burden)","4,761 European ancestry cases, 372,404 European ancestry controls","common wart",377165,"European"
"GCST90083559",34662886,"ICD10 C15.5: Malignant neoplasm of lower third of esophagus (Gene-based burden)","556 European ancestry cases, 387,374 European ancestry controls","neoplasm of esophagus",387930,"European"
"GCST90083560",34662886,"ICD10 C15.9: Malignant neoplasm of esophagus, unspecified (Gene-based burden)","864 European ancestry cases, 387,066 European ancestry controls","neoplasm of esophagus",387930,"European"
"GCST90083561",34662886,"ICD10 C15: Malignant neoplasm of esophagus (Gene-based burden)","992 European ancestry cases, 386,907 European ancestry controls","neoplasm of esophagus",387899,"European"
"GCST90083562",34662886,"ICD10 C16: Malignant neoplasm of stomach (Gene-based burden)","762 European ancestry cases, 387,139 European ancestry controls","stomach neoplasm",387901,"European"
"GCST90083563",34662886,"ICD10 C18.0: Malignant neoplasm of cecum (Gene-based burden)","774 European ancestry cases, 387,155 European ancestry controls","cecum cancer",387929,"European"
"GCST90083564",34662886,"ICD10 C18.2: Malignant neoplasm of ascending colon (Gene-based burden)","549 European ancestry cases, 387,381 European ancestry controls","colonic neoplasm",387930,"European"
"GCST90083565",34662886,"ICD10 C18.7: Malignant neoplasm of sigmoid colon (Gene-based burden)","1,470 European ancestry cases, 386,460 European ancestry controls","sigmoid neoplasm",387930,"European"
"GCST90083566",34662886,"ICD10 C18.9: Malignant neoplasm of colon, unspecified (Gene-based burden)","1,360 European ancestry cases, 386,429 European ancestry controls","colonic neoplasm",387789,"European"
"GCST90083567",34662886,"ICD10 C18: Malignant neoplasm of colon (Gene-based burden)","3,899 European ancestry cases, 383,758 European ancestry controls","colon carcinoma",387657,"European"
"GCST90083568",34662886,"ICD10 C19: Malignant neoplasm of rectosigmoid junction (Gene-based burden)","1,074 European ancestry cases, 386,842 European ancestry controls","rectosigmoid junction neoplasm",387916,"European"
"GCST90083569",34662886,"ICD10 C20: Malignant neoplasm of rectum (Gene-based burden)","1,884 European ancestry cases, 385,913 European ancestry controls","rectum cancer",387797,"European"
"GCST90083570",34662886,"ICD10 C22: Malignant neoplasm of liver and intrahepatic bile ducts (Gene-based burden)","575 European ancestry cases, 387,333 European ancestry controls","liver neoplasm",387908,"European"
"GCST90083571",34662886,"ICD10 C25.9: Malignant neoplasm of pancreas, unspecified (Gene-based burden)","872 European ancestry cases, 387,058 European ancestry controls","pancreatic carcinoma",387930,"European"
"GCST90083572",34662886,"ICD10 C25: Malignant neoplasm of pancreas (Gene-based burden)","961 European ancestry cases, 386,943 European ancestry controls","pancreatic carcinoma",387904,"European"
"GCST90083573",34662886,"ICD10 C34.1: Malignant neoplasm of upper lobe, bronchus or lung (Gene-based burden)","1,228 European ancestry cases, 386,702 European ancestry controls","lung carcinoma",387930,"European"
"GCST90083574",34662886,"ICD10 C34.3: Malignant neoplasm of lower lobe, bronchus or lung (Gene-based burden)","695 European ancestry cases, 387,235 European ancestry controls","lung carcinoma",387930,"European"
"GCST90083575",34662886,"ICD10 C34.9: Malignant neoplasm of unspecified part of bronchus or lung (Gene-based burden)","2,548 European ancestry cases, 385,381 European ancestry controls","lung carcinoma",387929,"European"
"GCST90083576",34662886,"ICD10 C34: Malignant neoplasm of bronchus and lung (Gene-based burden)","3,122 European ancestry cases, 384,752 European ancestry controls","lung carcinoma",387874,"European"
"GCST90083577",34662886,"ICD10 C43.6: Malignant melanoma of upper limb, including shoulder (Gene-based burden)","614 European ancestry cases, 387,316 European ancestry controls","melanoma",387930,"European"
"GCST90083578",34662886,"ICD10 C43.7: Malignant melanoma of lower limb, including hip (Gene-based burden)","793 European ancestry cases, 387,137 European ancestry controls","melanoma",387930,"European"
"GCST90083579",34662886,"ICD10 C43: Malignant melanoma of skin (Gene-based burden)","2,807 European ancestry cases, 384,475 European ancestry controls","cutaneous melanoma",387282,"European"
"GCST90083580",34662886,"ICD10 C44.1: Other and unspecified malignant neoplasm of skin of eyelid, including canthus (Gene-based burden)","1,565 European ancestry cases, 386,363 European ancestry controls","skin neoplasm",387928,"European"
"GCST90083581",34662886,"ICD10 C44.2: Other and unspecified malignant neoplasm of skin of ear and external auricular canal (Gene-based burden)","1,075 European ancestry cases, 386,855 European ancestry controls","skin neoplasm",387930,"European"
"GCST90083582",34662886,"ICD10 C44.3: Other and unspecified malignant neoplasm of skin of other and unspecified parts of face (Gene-based burden)","7,572 European ancestry cases, 380,358 European ancestry controls","skin neoplasm",387930,"European"
"GCST90083583",34662886,"ICD10 C44.4: Other and unspecified malignant neoplasm of skin of scalp and neck (Gene-based burden)","1,835 European ancestry cases, 386,072 European ancestry controls","skin neoplasm",387907,"European"
"GCST90083584",34662886,"ICD10 C44.5: Other and unspecified malignant neoplasm of skin of trunk (Gene-based burden)","2,526 European ancestry cases, 385,397 European ancestry controls","skin neoplasm",387923,"European"
"GCST90083585",34662886,"ICD10 C44.6: Other and unspecified malignant neoplasm of skin of upper limb, including shoulder (Gene-based burden)","1,542 European ancestry cases, 386,385 European ancestry controls","skin neoplasm",387927,"European"
"GCST90083586",34662886,"ICD10 C44.7: Other and unspecified malignant neoplasm of skin of lower limb, including hip (Gene-based burden)","1,262 European ancestry cases, 386,666 European ancestry controls","skin neoplasm",387928,"European"
"GCST90083587",34662886,"ICD10 C44: Other and unspecified malignant neoplasm of skin (Gene-based burden)","15,858 European ancestry cases, 368,260 European ancestry controls","skin neoplasm",384118,"European"
"GCST90083588",34662886,"ICD10 C50.2: Malignant neoplasm of upper-inner quadrant of breast (Gene-based burden)","775 European ancestry cases, 228,359 European ancestry controls","breast neoplasm",229134,"European"
"GCST90083589",34662886,"ICD10 C50.4: Malignant neoplasm of upper-outer quadrant of breast (Gene-based burden)","2,461 European ancestry cases, 226,673 European ancestry controls","breast neoplasm",229134,"European"
"GCST90083590",34662886,"ICD10 C50.8: Malignant neoplasm of overlapping sites of breast (Gene-based burden)","600 European ancestry cases, 228,534 European ancestry controls","breast neoplasm",229134,"European"
"GCST90083591",34662886,"ICD10 C50.9: Malignant neoplasm of breast of unspecified site (Gene-based burden)","8,909 European ancestry cases, 202,443 European ancestry controls","breast neoplasm",211352,"European"
"GCST90083592",34662886,"ICD10 C50: Malignant neoplasm of breast (Gene-based burden)","12,346 European ancestry cases, 198,242 European ancestry controls","breast neoplasm",210588,"European"
"GCST90083593",34662886,"ICD10 C54.1: Malignant neoplasm of endometrium (Gene-based burden)","1,469 European ancestry cases, 227,317 European ancestry controls","endometrial cancer",228786,"European"
"GCST90083594",34662886,"ICD10 C54: Malignant neoplasm of corpus uteri (Gene-based burden)","1,515 European ancestry cases, 210,164 European ancestry controls","uterine corpus cancer",211679,"European"
"GCST90083595",34662886,"ICD10 C56: Malignant neoplasm of ovary (Gene-based burden)","1,188 European ancestry cases, 210,464 European ancestry controls","ovarian neoplasm",211652,"European"
"GCST90083596",34662886,"ICD10 C64: Malignant neoplasm of kidney, except renal pelvis (Gene-based burden)","1,355 European ancestry cases, 386,525 European ancestry controls","kidney neoplasm",387880,"European"
"GCST90083597",34662886,"ICD10 C67.9: Malignant neoplasm of bladder, unspecified (Gene-based burden)","2,407 European ancestry cases, 385,519 European ancestry controls","urinary bladder carcinoma",387926,"European"
"GCST90083598",34662886,"ICD10 C67: Malignant neoplasm of bladder (Gene-based burden)","2,670 European ancestry cases, 385,138 European ancestry controls","urinary bladder carcinoma",387808,"European"
"GCST90083599",34662886,"ICD10 C71.9: Malignant neoplasm of brain, unspecified (Gene-based burden)","550 European ancestry cases, 387,380 European ancestry controls","brain neoplasm",387930,"European"
"GCST90083600",34662886,"ICD10 C71: Malignant neoplasm of brain (Gene-based burden)","678 European ancestry cases, 387,224 European ancestry controls","brain neoplasm",387902,"European"
"GCST90083601",34662886,"ICD10 C77.0: Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck (Gene-based burden)","933 European ancestry cases, 386,997 European ancestry controls","lymph node neoplasm",387930,"European"
"GCST90083602",34662886,"ICD10 C77.1: Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes (Gene-based burden)","1,267 European ancestry cases, 386,663 European ancestry controls","lymph node neoplasm",387930,"European"
"GCST90083603",34662886,"ICD10 C77.2: Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes (Gene-based burden)","1,880 European ancestry cases, 386,050 European ancestry controls","lymph node neoplasm",387930,"European"
"GCST90083604",34662886,"ICD10 C77.3: Secondary and unspecified malignant neoplasm of axilla and upper limb lymph nodes (Gene-based burden)","2,725 European ancestry cases, 385,205 European ancestry controls","lymph node neoplasm",387930,"European"
"GCST90083605",34662886,"ICD10 C77.9: Secondary and unspecified malignant neoplasm of lymph node, unspecified (Gene-based burden)","650 European ancestry cases, 387,279 European ancestry controls","lymph node neoplasm",387929,"European"
"GCST90083606",34662886,"ICD10 C77: Secondary and unspecified malignant neoplasm of lymph nodes (Gene-based burden)","7,019 European ancestry cases, 380,863 European ancestry controls","lymph node neoplasm",387882,"European"
"GCST90083607",34662886,"ICD10 C78.0: Secondary malignant neoplasm of lung (Gene-based burden)","2,742 European ancestry cases, 385,188 European ancestry controls","secondary malignant neoplasm",387930,"European"
"GCST90083608",34662886,"ICD10 C78.2: Secondary malignant neoplasm of pleura (Gene-based burden)","815 European ancestry cases, 387,115 European ancestry controls","secondary malignant neoplasm",387930,"European"
"GCST90083609",34662886,"ICD10 C78.6: Secondary malignant neoplasm of retroperitoneum and peritoneum (Gene-based burden)","1,833 European ancestry cases, 386,097 European ancestry controls","secondary malignant neoplasm",387930,"European"
"GCST90083610",34662886,"ICD10 C78.7: Secondary malignant neoplasm of liver and intrahepatic bile duct (Gene-based burden)","3,748 European ancestry cases, 384,182 European ancestry controls","secondary malignant neoplasm",387930,"European"
"GCST90083611",34662886,"ICD10 C78: Secondary malignant neoplasm of respiratory and digestive organs (Gene-based burden)","6,526 European ancestry cases, 381,309 European ancestry controls","secondary malignant neoplasm",387835,"European"
"GCST90083612",34662886,"ICD10 C79.3: Secondary malignant neoplasm of brain and cerebral meninges (Gene-based burden)","1,145 European ancestry cases, 386,785 European ancestry controls","secondary malignant neoplasm",387930,"European"
"GCST90083613",34662886,"ICD10 C79.5: Secondary malignant neoplasm of bone and bone marrow (Gene-based burden)","3,104 European ancestry cases, 384,826 European ancestry controls","secondary malignant neoplasm",387930,"European"
"GCST90083614",34662886,"ICD10 C79.8: Secondary malignant neoplasm of other specified sites (Gene-based burden)","1,374 European ancestry cases, 386,553 European ancestry controls","secondary malignant neoplasm",387927,"European"
"GCST90083615",34662886,"ICD10 C79: Secondary malignant neoplasm of other and unspecified sites (Gene-based burden)","5,376 European ancestry cases, 382,352 European ancestry controls","secondary malignant neoplasm",387728,"European"
"GCST90083616",34662886,"ICD10 C80.0: Disseminated malignant neoplasm, unspecified (Gene-based burden)","570 European ancestry cases, 387,360 European ancestry controls","neoplasm",387930,"European"
"GCST90083617",34662886,"ICD10 C80.9: Malignant neoplasm, unspecified (Gene-based burden)","572 European ancestry cases, 387,358 European ancestry controls","neoplasm",387930,"European"
"GCST90083618",34662886,"ICD10 C80: Malignant neoplasm without specification of site (Gene-based burden)","2,342 European ancestry cases, 384,910 European ancestry controls","neoplasm",387252,"European"
"GCST90083619",34662886,"ICD10 C82: Follicular lymphoma (Gene-based burden)","538 European ancestry cases, 387,366 European ancestry controls","follicular lymphoma",387904,"European"
"GCST90083620",34662886,"ICD10 C83.3: Diffuse large B-cell lymphoma (Gene-based burden)","768 European ancestry cases, 387,162 European ancestry controls","diffuse large B-cell lymphoma",387930,"European"
"GCST90083621",34662886,"ICD10 C83: Non-follicular lymphoma (Gene-based burden)","1,109 European ancestry cases, 386,801 European ancestry controls","lymphoma",387910,"European"
"GCST90083622",34662886,"ICD10 C85.1: Unspecified B-cell lymphoma (Gene-based burden)","521 European ancestry cases, 387,409 European ancestry controls","lymphoma",387930,"European"
